"iid","wave","is_male","attractiveness","sincerity","intelligence","fun","ambition","shared_interests"
51,2,TRUE,25,10,35,15,0,15
52,2,TRUE,15,20,15,30,5,15
53,2,TRUE,40,15,20,10,5,10
54,2,TRUE,40,20,20,20,0,0
55,2,TRUE,20,25,25,10,10,10
56,3,FALSE,17,18,18,15,17,15
57,3,FALSE,10,20,20,20,15,15
58,3,FALSE,NA,NA,NA,NA,NA,NA
59,3,FALSE,NA,NA,NA,NA,NA,NA
60,3,FALSE,5,20,25,15,15,20
61,3,FALSE,15,15,20,15,15,20
62,3,FALSE,30,10,20,20,10,10
63,3,FALSE,5,15,45,25,0,10
64,3,FALSE,10,25,25,10,10,20
65,3,FALSE,17,17,17,17,17,15
66,3,TRUE,20,25,15,15,53,20
67,3,TRUE,20,15,20,20,5,10
68,3,TRUE,21,17,22,20,8,13
69,3,TRUE,50,10,30,10,0,0
70,3,TRUE,25,10,20,20,15,10
71,3,TRUE,60,15,0,15,0,10
72,3,TRUE,21,20,19,20,10,10
73,3,TRUE,30,10,20,30,0,10
74,3,TRUE,30,0,30,30,10,0
75,3,TRUE,20,20,20,20,10,10
76,4,FALSE,10,10,30,20,10,20
77,4,FALSE,15,20,20,20,15,10
78,4,FALSE,10,25,20,10,20,15
79,4,FALSE,10,20,15,20,20,15
80,4,FALSE,10,20,20,10,20,20
81,4,FALSE,10,10,20,20,20,20
82,4,FALSE,20,20,20,20,10,10
83,4,FALSE,10,32,20,12,11,15
84,4,FALSE,30,30,30,5,0,5
85,4,FALSE,20,25,15,15,15,10
86,4,FALSE,15,20,20,20,5,20
87,4,FALSE,15,15,20,15,15,20
88,4,FALSE,15,15,20,15,20,15
89,4,FALSE,25,15,20,20,20,0
90,4,FALSE,15,21,18,18,10,18
91,4,FALSE,15,3,50,20,2,10
92,4,FALSE,10,20,20,20,20,10
93,4,FALSE,14,20,18,24,18,6
94,4,TRUE,20,20,20,10,10,20
95,4,TRUE,18,18,18,19,13,14
96,4,TRUE,10,20,20,22,6,22
97,4,TRUE,50,7,20,23,0,0
98,4,TRUE,40,20,15,20,0,5
99,4,TRUE,30,30,20,10,10,0
100,4,TRUE,20,25,25,15,5,10
101,4,TRUE,40,8,10,12,10,20
102,4,TRUE,30,10,30,20,10,0
103,4,TRUE,40,5,20,10,10,15
104,4,TRUE,20,15,25,15,20,5
105,4,TRUE,30,15,20,20,0,5
106,4,TRUE,10,20,35,10,5,20
107,4,TRUE,19,24,21,23,5,8
108,4,TRUE,10,20,35,20,0,15
109,4,TRUE,15,10,30,10,5,30
110,4,TRUE,20,20,15,15,5,25
111,4,TRUE,20,20,20,20,10,10
112,5,FALSE,15,15,20,25,10,15
113,5,FALSE,15,15,25,25,15,5
114,5,FALSE,20,20,20,20,10,10
115,5,FALSE,20,10,30,20,15,5
116,5,FALSE,15,15,25,25,20,0
117,5,FALSE,20,10,20,20,20,10
119,5,FALSE,50,15,10,10,10,5
120,5,FALSE,10,10,35,35,8,2
121,5,FALSE,35,15,5,30,15,0
122,5,TRUE,40,15,10,20,5,10
123,5,TRUE,50,10,20,5,5,10
124,5,TRUE,40,10,10,10,10,20
125,5,TRUE,20,15,20,15,12,18
126,5,TRUE,25,40,15,10,5,5
127,5,TRUE,25,25,25,15,5,5
128,5,TRUE,40,15,10,20,10,5
129,5,TRUE,40,20,20,20,NA,NA
130,5,TRUE,80,10,10,NA,NA,NA
131,5,TRUE,25,10,20,20,10,15
132,6,FALSE,16.67,16.67,16.67,16.67,16.67,16.67
133,6,FALSE,12.77,19.15,17.02,17.02,14.89,19.15
134,6,FALSE,6.67,20,20,17.78,20,15.56
135,6,FALSE,18.18,22.73,18.18,13.64,13.64,13.64
136,6,FALSE,NA,NA,NA,NA,NA,NA
137,6,TRUE,17.39,17.39,15.22,17.39,13.04,19.57
138,6,TRUE,20,20,20,20,6.67,13.33
139,6,TRUE,18.75,16.67,18.75,20.83,12.5,12.5
140,6,TRUE,18.6,16.28,18.6,18.6,11.63,16.28
141,6,TRUE,20.83,20.83,16.67,16.67,6.25,18.75
142,7,FALSE,14.29,14.29,21.43,21.43,19.05,9.52
143,7,FALSE,8.33,20.83,20.83,14.58,16.67,18.75
144,7,FALSE,16,16,16,18,18,16
145,7,FALSE,11.36,18.18,22.73,18.18,11.36,18.18
146,7,FALSE,18.18,18.18,18.18,18.18,13.64,13.64
147,7,FALSE,18,18,20,18,16,10
148,7,FALSE,15.09,16.98,16.98,18.87,18.87,13.21
149,7,FALSE,8.51,19.15,19.15,19.15,19.15,14.89
150,7,FALSE,12,20,20,20,14,14
151,7,FALSE,14.55,16.36,18.18,18.18,16.36,16.36
152,7,FALSE,14,20,20,14,18,14
153,7,FALSE,9.76,19.51,19.51,14.63,19.51,17.07
154,7,FALSE,15.38,17.31,17.31,17.31,17.31,15.38
155,7,FALSE,15.09,18.87,18.87,16.98,16.98,13.21
156,7,FALSE,14,18,16,18,18,16
157,7,FALSE,14.29,16.33,16.33,18.37,18.37,16.33
158,7,TRUE,19.05,19.05,19.05,19.05,9.52,14.29
159,7,TRUE,15.91,20.45,20.45,20.45,11.36,11.36
160,7,TRUE,16,18,18,18,14,16
161,7,TRUE,16.67,18.75,18.75,18.75,18.75,8.33
162,7,TRUE,15.22,15.22,19.57,17.39,13.04,19.57
163,7,TRUE,12,20,20,20,16,12
164,7,TRUE,20.51,23.08,20.51,17.95,2.56,15.38
165,7,TRUE,16.67,12.5,20.83,18.75,12.5,18.75
166,7,TRUE,27.78,19.44,19.44,27.78,2.78,2.78
167,7,TRUE,18.6,13.95,18.6,16.28,16.28,16.28
168,7,TRUE,11.11,17.78,17.78,17.78,17.78,17.78
169,7,TRUE,17.78,20,17.78,15.56,15.56,13.33
170,7,TRUE,16.28,20.93,18.6,18.6,13.95,11.63
171,7,TRUE,19.57,10.87,19.57,19.57,19.57,10.87
172,7,TRUE,17.78,17.78,22.22,20,15.56,6.67
173,7,TRUE,18.37,18.37,20.41,20.41,16.33,6.12
174,8,FALSE,9.52,23.81,16.67,16.67,16.67,16.67
175,8,FALSE,12.24,20.41,16.33,14.29,20.41,16.33
176,8,FALSE,13.04,21.74,19.57,17.39,15.22,13.04
177,8,FALSE,15.09,16.98,16.98,16.98,18.87,15.09
178,8,FALSE,15.22,17.39,17.39,17.39,15.22,17.39
179,8,FALSE,19.15,21.28,17.02,17.02,12.77,12.77
180,8,FALSE,15.38,17.31,17.31,19.23,13.46,17.31
181,8,FALSE,15.38,19.23,19.23,17.31,17.31,11.54
182,8,FALSE,16.07,17.86,17.86,17.86,17.86,12.5
183,8,FALSE,20,22.5,17.5,22.5,10,7.5
184,8,TRUE,16.67,16.67,16.67,16.67,16.67,16.67
185,8,TRUE,16.98,15.09,16.98,16.98,18.87,15.09
186,8,TRUE,19.44,19.44,22.22,16.67,11.11,11.11
187,8,TRUE,16.98,16.98,18.87,16.98,13.21,16.98
188,8,TRUE,15.56,11.11,22.22,15.56,20,15.56
189,8,TRUE,16.98,16.98,16.98,16.98,16.98,15.09
190,8,TRUE,15.56,20,20,20,13.33,11.11
191,8,TRUE,20.45,20.45,20.45,18.18,18.18,2.27
192,8,TRUE,19.57,19.57,15.22,17.39,15.22,13.04
193,8,TRUE,20.93,16.28,23.26,16.28,11.63,11.63
194,9,FALSE,16,16,20,16,18,14
195,9,FALSE,15.38,19.23,19.23,19.23,13.46,13.46
196,9,FALSE,17.65,17.65,17.65,15.69,15.69,15.69
197,9,FALSE,14,18,20,18,16,14
198,9,FALSE,15.38,19.23,17.31,19.23,9.62,19.23
199,9,FALSE,17.5,17.5,20,12.5,20,12.5
200,9,FALSE,13.21,18.87,18.87,16.98,16.98,15.09
201,9,FALSE,15.38,17.31,17.31,17.31,17.31,15.38
202,9,FALSE,15.38,19.23,19.23,19.23,15.38,11.54
203,9,FALSE,16,20,18,20,18,8
204,9,FALSE,19.61,15.69,17.65,15.69,17.65,13.73
205,9,FALSE,15.38,17.31,19.23,19.23,11.54,17.31
206,9,FALSE,14.58,16.67,20.83,18.75,16.67,12.5
207,9,FALSE,17.31,13.46,17.31,19.23,19.23,13.46
208,9,FALSE,11.54,13.46,19.23,19.23,19.23,17.31
209,9,FALSE,13.04,21.74,17.39,17.39,15.22,15.22
210,9,FALSE,20,15.56,20,15.56,11.11,17.78
211,9,FALSE,16.36,16.36,18.18,18.18,16.36,14.55
212,9,FALSE,14.29,18.37,18.37,16.33,18.37,14.29
213,9,FALSE,15.52,17.24,17.24,17.24,17.24,15.52
214,9,TRUE,17.02,21.28,17.02,21.28,14.89,8.51
215,9,TRUE,14.89,19.15,21.28,19.15,14.89,10.64
216,9,TRUE,7.5,17.5,20,22.5,12.5,20
217,9,TRUE,21.28,17.02,21.28,12.77,6.38,21.28
218,9,TRUE,20.51,5.13,23.08,12.82,17.95,20.51
219,9,TRUE,16.28,16.28,18.6,16.28,16.28,16.28
220,9,TRUE,16.67,16.67,16.67,16.67,14.81,18.52
221,9,TRUE,15.56,17.78,17.78,17.78,17.78,13.33
222,9,TRUE,9.52,19.05,23.81,19.05,4.76,23.81
223,9,TRUE,17.39,17.39,19.57,19.57,10.87,15.22
224,9,TRUE,17.24,17.24,17.24,17.24,13.79,17.24
225,9,TRUE,14.71,14.71,14.71,14.71,20.59,20.59
226,9,TRUE,25.64,17.95,15.38,20.51,10.26,10.26
227,9,TRUE,20,16,18,16,16,14
228,9,TRUE,13.51,18.92,21.62,13.51,13.51,18.92
229,9,TRUE,21.43,16.67,21.43,16.67,11.9,11.9
230,9,TRUE,23.81,23.81,23.81,23.81,2.38,2.38
231,9,TRUE,18.6,20.93,23.26,23.26,2.33,11.63
232,9,TRUE,17.78,17.78,17.78,17.78,13.33,15.56
233,9,TRUE,14,20,18,16,14,18
234,10,FALSE,20,20,20,10,10,20
235,10,FALSE,15,15,20,20,20,10
236,10,FALSE,15,20,15,20,15,15
237,10,FALSE,10,20,20,20,20,10
238,10,FALSE,15,20,20,15,15,15
239,10,FALSE,10,25,20,20,5,20
240,10,FALSE,10,30,30,10,10,10
241,10,FALSE,90,2,2,2,2,2
242,10,FALSE,20,20,25,20,5,10
243,10,TRUE,20,20,20,25,5,10
244,10,TRUE,20,20,20,10,10,20
245,10,TRUE,18,10,30,10,10,22
246,10,TRUE,35,20,10,20,10,5
247,10,TRUE,20,30,10,15,0,25
248,10,TRUE,25,15,20,20,15,5
249,10,TRUE,22,22,15,15,5,21
250,10,TRUE,20,20,20,20,10,10
251,10,TRUE,19,19,19,19,19,5
252,11,FALSE,0,25,25,25,25,0
253,11,FALSE,25,30,10,10,5,20
254,11,FALSE,25,7,25,25,8,10
255,11,FALSE,16.67,16.67,16.67,16.67,16.67,16.67
256,11,FALSE,15,25,20,20,10,10
257,11,FALSE,22,14,30,10,14,10
258,11,FALSE,7,35,20,20,5,13
259,11,FALSE,15,18,19,19,17,12
260,11,FALSE,19,20,19,14,13,15
261,11,FALSE,15,20,20,20,15,10
262,11,FALSE,10,40,20,20,0,10
263,11,FALSE,20,20,20,10,20,10
264,11,FALSE,15,15,25,20,5,20
265,11,FALSE,15,5,45,10,15,10
266,11,FALSE,25,20,20,25,0,10
267,11,FALSE,20,30,10,15,10,15
268,11,FALSE,30,20,20,10,15,5
269,11,FALSE,20,10,30,15,15,10
270,11,FALSE,16,16,19,17,14,18
271,11,FALSE,10,15,40,15,10,10
272,11,FALSE,25,20,25,25,5,0
273,11,TRUE,30,25,18,18,4,5
274,11,TRUE,30,10,20,20,10,10
275,11,TRUE,25,10,25,5,10,25
276,11,TRUE,24,16,28,14,8,10
277,11,TRUE,60,20,0,20,0,0
278,11,TRUE,25,15,20,25,10,5
279,11,TRUE,27,15,28,10,10,10
280,11,TRUE,25,20,30,15,5,5
281,11,TRUE,20,20,20,15,5,20
282,11,TRUE,25,15,20,20,10,10
283,11,TRUE,50,10,10,10,10,10
284,11,TRUE,25,20,25,20,10,0
285,11,TRUE,20,20,25,25,5,5
286,11,TRUE,10,15,25,15,15,20
287,11,TRUE,35,40,5,5,7,8
288,11,TRUE,20,20,15,25,10,10
289,11,TRUE,20,30,10,20,0,20
290,11,TRUE,30,10,30,10,5,15
291,11,TRUE,20,20,15,15,12,18
292,11,TRUE,20,18,20,17,10,15
293,11,TRUE,23,18,21,18,10,10
294,12,FALSE,20,20,35,5,10,10
295,12,FALSE,10,18,20,16,16,20
296,12,FALSE,15,20,35,15,5,10
297,12,FALSE,25,25,15,15,10,10
298,12,FALSE,10,30,20,10,15,15
299,12,FALSE,10,40,10,20,10,10
300,12,FALSE,15,20,25,15,15,10
301,12,FALSE,20,20,20,20,10,10
302,12,FALSE,50,5,20,10,5,10
303,12,FALSE,20,25,25,10,15,5
304,12,FALSE,5,20,25,25,15,10
305,12,FALSE,10,47,16,12,3,12
306,12,FALSE,16,20,19,16,18,11
307,12,FALSE,10,20,20,15,20,15
308,12,TRUE,17,19,18,17,11,18
309,12,TRUE,20,20,20,20,10,10
310,12,TRUE,24,15,20,20,8,13
311,12,TRUE,50,20,10,10,5,5
312,12,TRUE,25,5,30,15,5,20
313,12,TRUE,19,13,18,18,10,22
314,12,TRUE,20,10,30,20,10,10
315,12,TRUE,6.67,19.05,42.86,9.52,14.29,7.62
316,12,TRUE,25,20,15,25,10,5
317,12,TRUE,50,0,20,20,0,10
318,12,TRUE,40,30,10,8,2,10
319,12,TRUE,20,25,20,10,5,20
320,12,TRUE,20,16,16,16,16,16
321,12,TRUE,30,15,15,20,10,10
322,13,FALSE,2,60,15,8,5,10
323,13,FALSE,10,20,20,20,10,20
324,13,FALSE,40,10,15,20,10,5
325,13,FALSE,10,20,20,10,10,30
326,13,FALSE,15,15,15,20,20,15
327,13,FALSE,15,10,20,20,20,15
328,13,FALSE,22,12,30,25,10,1
329,13,FALSE,15,22,22,16,15,10
330,13,FALSE,15,25,15,20,10,15
331,13,FALSE,15,15,10,25,10,25
332,13,TRUE,60,10,10,10,5,5
333,13,TRUE,50,5,15,20,10,0
334,13,TRUE,40,10,15,10,10,15
335,13,TRUE,20,10,20,20,15,15
336,13,TRUE,20,15,30,10,15,10
337,13,TRUE,17,17,17,17,16,16
338,13,TRUE,10,20,25,20,20,5
339,13,TRUE,NA,NA,NA,NA,NA,NA
340,13,TRUE,NA,NA,NA,NA,NA,NA
341,14,FALSE,20,20,20,20,20,0
342,14,FALSE,40,15,25,5,15,0
343,14,FALSE,5,25,20,10,15,25
344,14,FALSE,15,15,15,20,20,15
345,14,FALSE,10,20,27,23,15,5
346,14,FALSE,NA,NA,NA,NA,NA,NA
347,14,FALSE,30,5,10,20,30,5
348,14,FALSE,15,25,15,15,15,15
349,14,FALSE,25,20,10,20,20,5
350,14,FALSE,12,25,25,8,15,15
351,14,FALSE,15,15,30,15,15,10
352,14,FALSE,20,20,20,10,10,20
353,14,FALSE,15,10,25,25,10,15
354,14,FALSE,20,10,20,20,20,10
355,14,FALSE,50,20,10,5,10,5
356,14,FALSE,15,25,20,20,0,20
357,14,FALSE,15,20,20,20,20,5
358,14,FALSE,20,10,25,25,10,10
359,14,FALSE,9,17,23,15,14,22
360,14,FALSE,20,30,10,10,10,20
361,14,TRUE,30,20,30,5,5,10
362,14,TRUE,20.51,14.53,24.79,17.09,5.98,17.09
363,14,TRUE,25,20,20,20,5,10
364,14,TRUE,25,25,25,15,10,0
365,14,TRUE,31.58,10.53,15.79,21.05,10.53,10.53
366,14,TRUE,14,18,17,16,15,20
367,14,TRUE,30,15,20,25,5,5
368,14,TRUE,20,10,25,20,10,15
369,14,TRUE,17,18,28,27,5,5
370,14,TRUE,50,10,10,10,10,10
371,14,TRUE,40,0,10,50,0,0
372,14,TRUE,30,15,15,20,5,15
373,14,TRUE,75,5,5,10,0,5
374,14,TRUE,50,10,10,10,5,15
375,14,TRUE,30,20,15,15,8,12
376,14,TRUE,30,10,15,20,15,10
377,14,TRUE,25,20,10,20,15,10
378,14,TRUE,25,15,20,20,10,10
379,15,FALSE,15,15,20,15,15,20
380,15,FALSE,20,20,20,15,15,10
381,15,FALSE,20,10,20,35,5,10
382,15,FALSE,25,25,25,10,10,5
383,15,FALSE,25,20,10,20,15,10
384,15,FALSE,20,20,20,20,20,0
385,15,FALSE,25,20,20,20,10,5
386,15,FALSE,15,10,30,10,15,20
387,15,FALSE,20,15,25,15,15,10
388,15,FALSE,22,17,15,15,15,16
389,15,FALSE,20,30,20,20,0,10
390,15,FALSE,10,20,20,10,10,30
391,15,FALSE,35,0,35,10,10,10
392,15,FALSE,15,20,15,30,10,10
393,15,FALSE,8,20,25,25,12,10
394,15,FALSE,18,19,16,15,15,17
395,15,FALSE,20,20,20,10,10,20
396,15,FALSE,15,18,18,18,15,16
397,15,TRUE,20,21,21,22,6,10
398,15,TRUE,45,10,10,30,0,5
399,15,TRUE,25,10,20,20,10,15
400,15,TRUE,70,5,20,3,1,1
401,15,TRUE,35,0,25,20,0,20
402,15,TRUE,25,20,15,25,10,5
403,15,TRUE,20,25,20,15,5,15
404,15,TRUE,25,14,25,25,3,8
405,15,TRUE,30,25,20,15,5,5
406,15,TRUE,20,20,20,20,20,0
407,15,TRUE,30,15,15,15,15,10
408,15,TRUE,20,10,20,20,10,20
409,15,TRUE,20,15,20,20,10,15
410,15,TRUE,20,20,20,20,10,10
411,15,TRUE,35,15,15,25,10,0
412,15,TRUE,75,5,5,5,5,5
413,15,TRUE,10,10,30,30,5,15
414,15,TRUE,95,1,1,1,1,1
415,15,TRUE,10,20,40,10,10,10
416,16,FALSE,15,20,30,20,5,10
417,16,FALSE,20,20,20,10,10,20
418,16,FALSE,15,25,20,15,10,15
419,16,FALSE,5,30,20,10,5,30
420,16,FALSE,10,10,40,10,15,15
421,16,FALSE,20,10,30,20,10,10
422,16,TRUE,30,25,20,10,10,5
423,16,TRUE,30,20,30,10,5,5
424,16,TRUE,17,16,17,17,17,16
425,16,TRUE,16,25,20,12,12,15
426,16,TRUE,25,7,35,20,8,5
427,16,TRUE,20,20,20,20,20,20
428,16,TRUE,60,10,10,10,10,0
429,16,TRUE,55,10,15,15,5,0
430,17,FALSE,10,25,15,20,15,15
431,17,FALSE,15,15,25,15,15,15
432,17,FALSE,15,30,30,10,10,5
433,17,FALSE,20,20,20,20,10,10
434,17,FALSE,30,15,15,30,0,10
435,17,FALSE,25,5,20,25,15,10
436,17,FALSE,28,8,17,22,17,8
437,17,FALSE,15,15,18,18,14,20
438,17,FALSE,14,15,16,17,18,20
439,17,FALSE,20,10,50,5,10,5
440,17,TRUE,35,5,30,20,5,5
441,17,TRUE,35,10,25,20,5,5
442,17,TRUE,40,10,0,45,0,5
443,17,TRUE,30,25,10,20,0,15
444,17,TRUE,50,10,10,30,0,0
445,17,TRUE,40,12,18,12,6,12
446,17,TRUE,30,20,25,15,10,0
447,17,TRUE,15,30,25,20,0,10
448,17,TRUE,25,15,25,25,5,5
449,17,TRUE,55,2,1,40,1,1
450,17,TRUE,50,5,5,5,5,30
451,17,TRUE,20,40,5,20,5,10
452,17,TRUE,35,30,25,5,0,5
453,17,TRUE,30,30,30,5,0,5
454,18,FALSE,10,20,20,20,10,20
455,18,FALSE,10,25,20,16,20,9
456,18,FALSE,25,20,15,10,15,15
457,18,FALSE,25,0,25,25,0,25
458,18,FALSE,50,5,25,20,0,0
459,18,FALSE,30,10,10,30,10,10
460,18,TRUE,20,10,20,15,15,20
461,18,TRUE,40,20,20,10,10,0
462,18,TRUE,30,30,10,10,0,20
463,18,TRUE,15,15,15,15,15,25
464,18,TRUE,15,15,15,20,15,20
465,18,TRUE,20,20,20,20,20,0
466,19,FALSE,10,20,20,15,20,15
467,19,FALSE,20,20,20,20,20,0
468,19,FALSE,15,25,15,15,15,15
469,19,FALSE,20,10,20,20,10,20
470,19,FALSE,10,20,25,25,10,10
471,19,FALSE,15,15,25,10,15,20
472,19,FALSE,10,25,25,20,10,10
473,19,FALSE,15,20,20,15,15,15
474,19,FALSE,15,20,10,30,5,20
475,19,FALSE,10,15,30,10,15,20
476,19,FALSE,20,20,20,15,15,10
477,19,FALSE,16,19,16,17,15,17
478,19,FALSE,20,20,10,20,10,20
479,19,FALSE,15,15,20,20,15,15
480,19,FALSE,16,18,18,20,12,16
481,19,TRUE,25,20,15,20,5,15
482,19,TRUE,20,10,22,20,15,13
483,19,TRUE,40,20,20,20,0,0
484,19,TRUE,16,16,20,16,16,16
485,19,TRUE,20,15,20,15,15,15
486,19,TRUE,20,20,20,15,10,15
487,19,TRUE,25,26,15,10,9,15
488,19,TRUE,15,20,20,20,5,20
489,19,TRUE,20,10,20,20,20,0
490,19,TRUE,30,15,20,10,10,15
491,19,TRUE,30,10,25,20,8,7
492,19,TRUE,30,0,30,30,10,0
493,19,TRUE,30,10,10,30,10,10
494,19,TRUE,25,25,25,25,0,0
495,19,TRUE,20,20,20,15,15,10
496,20,FALSE,20,30,20,20,10,0
497,20,FALSE,10,20,20,20,20,10
498,20,FALSE,18,18,18,18,18,10
499,20,FALSE,19,19,19,19,5,19
500,20,FALSE,10,15,35,15,10,15
501,20,FALSE,30,10,20,10,10,20
502,20,TRUE,40,20,20,20,0,0
503,20,TRUE,30,30,40,0,0,0
504,20,TRUE,30,0,30,15,15,10
505,20,TRUE,20,14,18,16,16,16
506,20,TRUE,15,15,20,15,15,20
507,20,TRUE,20,20,20,20,20,0
508,20,TRUE,18,10,18,18,18,18
509,21,FALSE,10,20,30,10,10,20
510,21,FALSE,25,25,25,12,3,10
511,21,FALSE,20,10,10,30,15,15
512,21,FALSE,20,20,20,20,5,15
513,21,FALSE,20,20,20,20,5,15
514,21,FALSE,20,20,20,15,5,20
515,21,FALSE,20,20,20,15,10,15
516,21,FALSE,58,5,8,10,7,12
517,21,FALSE,15,20,20,20,5,10
518,21,FALSE,20,25,25,30,5,5
519,21,FALSE,40,5,30,15,5,5
520,21,FALSE,25,15,25,15,10,10
521,21,FALSE,10,30,20,15,15,10
522,21,FALSE,10,20,15,20,15,20
523,21,FALSE,10,25,20,20,5,20
524,21,FALSE,15,20,25,20,10,10
525,21,FALSE,10,15,30,20,15,10
526,21,FALSE,10,10,30,20,10,15
527,21,FALSE,50,20,10,5,10,5
528,21,FALSE,40,10,30,10,10,NA
529,21,FALSE,10,25,25,10,10,20
530,21,FALSE,20,20,10,15,5,30
531,21,TRUE,15,30,20,20,10,5
532,21,TRUE,25,20,20,20,5,10
533,21,TRUE,25,25,25,13,12,0
534,21,TRUE,30,30,30,5,2,3
535,21,TRUE,23,14,19,16,10,18
536,21,TRUE,30,20,20,20,10,0
537,21,TRUE,20,5,25,25,5,20
538,21,TRUE,50,0,10,30,0,10
539,21,TRUE,30,10,20,15,15,10
540,21,TRUE,20,15,20,20,15,10
541,21,TRUE,40,30,0,20,0,10
542,21,TRUE,25,15,20,20,10,10
543,21,TRUE,20,16,16,17,16,15
544,21,TRUE,15,25,20,10,10,20
545,21,TRUE,20,20,20,20,10,10
546,21,TRUE,35,10,20,25,5,5
547,21,TRUE,25,20,20,20,0,15
548,21,TRUE,40,10,20,10,0,20
549,21,TRUE,20,20,20,20,0,20
550,21,TRUE,30,3,30,30,3,4
551,21,TRUE,40,20,20,20,0,0
552,21,TRUE,70,0,15,15,0,0
