"iid","is_male","how_many_you_contacted","how_many_contacted_you","has_been_on_date_with_matches","num_matches_gone_out_with","how_many_dates"
47,TRUE,NA,NA,NA,NA,NA
48,TRUE,1,0,FALSE,NA,NA
49,TRUE,NA,NA,NA,NA,NA
50,TRUE,NA,NA,NA,NA,NA
51,TRUE,NA,NA,NA,NA,NA
52,TRUE,NA,NA,NA,NA,NA
53,TRUE,1,0,FALSE,NA,NA
54,TRUE,NA,NA,NA,NA,NA
55,TRUE,NA,NA,NA,NA,NA
56,FALSE,0,2,FALSE,NA,NA
57,FALSE,0,0,FALSE,NA,NA
58,FALSE,NA,NA,NA,NA,NA
59,FALSE,NA,NA,NA,NA,NA
60,FALSE,NA,NA,NA,NA,NA
61,FALSE,0,1,TRUE,NA,NA
62,FALSE,NA,NA,NA,NA,NA
63,FALSE,0,0,FALSE,NA,NA
64,FALSE,1,1,FALSE,NA,NA
65,FALSE,0,0,FALSE,NA,NA
66,TRUE,NA,NA,NA,NA,NA
67,TRUE,NA,NA,NA,NA,NA
68,TRUE,NA,NA,NA,NA,NA
69,TRUE,2,0,TRUE,NA,0
70,TRUE,NA,NA,NA,NA,NA
71,TRUE,NA,NA,NA,NA,NA
72,TRUE,0,0,FALSE,NA,NA
73,TRUE,NA,NA,NA,NA,NA
74,TRUE,0,0,FALSE,NA,NA
75,TRUE,NA,NA,NA,NA,NA
76,FALSE,2,2,TRUE,NA,1
77,FALSE,0,4,TRUE,NA,NA
78,FALSE,2,0,TRUE,NA,NA
79,FALSE,NA,NA,NA,NA,NA
80,FALSE,0,1,FALSE,NA,0
81,FALSE,0,2,TRUE,NA,NA
82,FALSE,1,3,FALSE,NA,NA
83,FALSE,0,0,FALSE,NA,NA
84,FALSE,1,1,TRUE,NA,NA
85,FALSE,0,1,FALSE,NA,NA
86,FALSE,NA,NA,NA,NA,NA
87,FALSE,0,1,FALSE,NA,NA
88,FALSE,NA,NA,NA,NA,NA
89,FALSE,0,0,FALSE,NA,NA
90,FALSE,0,0,FALSE,NA,NA
91,FALSE,0,3,FALSE,NA,NA
92,FALSE,1,4,TRUE,NA,NA
93,FALSE,0,1,TRUE,NA,NA
94,TRUE,NA,NA,NA,NA,NA
95,TRUE,NA,NA,NA,NA,NA
96,TRUE,NA,NA,NA,NA,NA
97,TRUE,4,1,TRUE,NA,NA
98,TRUE,2,1,TRUE,NA,NA
99,TRUE,NA,NA,NA,NA,NA
100,TRUE,0,0,FALSE,NA,NA
101,TRUE,NA,NA,NA,NA,NA
102,TRUE,1,1,TRUE,NA,NA
103,TRUE,1,0,FALSE,NA,NA
104,TRUE,NA,NA,NA,NA,NA
105,TRUE,8,6,TRUE,NA,4
106,TRUE,0,1,TRUE,NA,NA
107,TRUE,NA,NA,NA,NA,NA
108,TRUE,0,2,TRUE,NA,NA
109,TRUE,NA,NA,NA,NA,NA
110,TRUE,1,0,FALSE,NA,NA
111,TRUE,NA,NA,NA,NA,NA
112,FALSE,NA,NA,NA,NA,NA
113,FALSE,0,1,TRUE,NA,NA
114,FALSE,NA,NA,NA,NA,NA
115,FALSE,0,0,FALSE,NA,NA
116,FALSE,0,2,TRUE,NA,0
117,FALSE,0,0,FALSE,NA,NA
119,FALSE,NA,NA,NA,NA,NA
120,FALSE,0,0,FALSE,NA,NA
121,FALSE,NA,NA,NA,NA,NA
122,TRUE,1,0,TRUE,NA,NA
123,TRUE,NA,NA,NA,NA,NA
124,TRUE,NA,NA,NA,NA,NA
125,TRUE,NA,NA,NA,NA,NA
126,TRUE,2,2,TRUE,NA,1
127,TRUE,0,0,FALSE,NA,NA
128,TRUE,0,1,FALSE,NA,NA
129,TRUE,NA,NA,NA,NA,NA
130,TRUE,NA,NA,NA,NA,NA
131,TRUE,0,0,FALSE,NA,0
132,FALSE,NA,NA,NA,NA,NA
133,FALSE,0,0,FALSE,0,0
134,FALSE,0,0,FALSE,NA,NA
135,FALSE,1,0,TRUE,1,NA
136,FALSE,1,1,FALSE,NA,NA
137,TRUE,NA,NA,NA,NA,NA
138,TRUE,NA,NA,NA,NA,NA
139,TRUE,0,0,FALSE,NA,NA
140,TRUE,NA,NA,NA,NA,NA
141,TRUE,NA,NA,NA,NA,NA
142,FALSE,0,3,FALSE,0,1
143,FALSE,NA,NA,NA,NA,NA
144,FALSE,0,0,FALSE,NA,NA
145,FALSE,0,0,FALSE,NA,NA
146,FALSE,NA,NA,NA,NA,NA
147,FALSE,0,2,TRUE,1,1
148,FALSE,NA,NA,NA,NA,NA
149,FALSE,0,5,TRUE,2,NA
150,FALSE,1,1,TRUE,1,NA
151,FALSE,2,2,TRUE,2,NA
152,FALSE,0,1,FALSE,NA,NA
153,FALSE,0,2,TRUE,1,NA
154,FALSE,0,2,TRUE,2,NA
155,FALSE,NA,NA,NA,NA,NA
156,FALSE,NA,NA,NA,NA,NA
157,FALSE,NA,NA,NA,NA,NA
158,TRUE,0,0,FALSE,NA,NA
159,TRUE,1,0,FALSE,NA,NA
160,TRUE,NA,NA,NA,NA,NA
161,TRUE,NA,NA,NA,NA,NA
162,TRUE,NA,NA,NA,NA,NA
163,TRUE,3,0,TRUE,2,NA
164,TRUE,NA,NA,NA,NA,NA
165,TRUE,2,0,TRUE,2,NA
166,TRUE,1,0,TRUE,1,NA
167,TRUE,NA,NA,NA,NA,NA
168,TRUE,NA,NA,NA,NA,NA
169,TRUE,1,0,FALSE,NA,NA
170,TRUE,0,0,FALSE,NA,NA
171,TRUE,4,2,TRUE,2,NA
172,TRUE,NA,NA,NA,NA,NA
173,TRUE,NA,NA,NA,NA,NA
174,FALSE,0,1,FALSE,NA,NA
175,FALSE,0,0,FALSE,NA,NA
176,FALSE,NA,NA,NA,NA,NA
177,FALSE,NA,NA,NA,NA,NA
178,FALSE,NA,NA,NA,NA,NA
179,FALSE,NA,NA,NA,NA,NA
180,FALSE,0,1,TRUE,1,NA
181,FALSE,0,0,FALSE,NA,NA
182,FALSE,0,0,FALSE,NA,NA
183,FALSE,0,1,FALSE,NA,NA
184,TRUE,4,2,TRUE,1,NA
185,TRUE,0,0,FALSE,NA,NA
186,TRUE,1,0,TRUE,1,NA
187,TRUE,0,0,FALSE,NA,NA
188,TRUE,0,0,FALSE,NA,NA
189,TRUE,0,0,FALSE,NA,NA
190,TRUE,NA,NA,NA,NA,NA
191,TRUE,0,0,FALSE,NA,NA
192,TRUE,0,0,FALSE,NA,NA
193,TRUE,0,0,FALSE,NA,NA
194,FALSE,0,0,FALSE,NA,NA
195,FALSE,0,4,TRUE,1,NA
196,FALSE,NA,NA,NA,NA,NA
197,FALSE,NA,NA,NA,NA,NA
198,FALSE,0,0,FALSE,0,NA
199,FALSE,1,3,TRUE,1,NA
200,FALSE,NA,NA,NA,NA,NA
201,FALSE,0,1,FALSE,NA,NA
202,FALSE,1,1,TRUE,2,NA
203,FALSE,0,0,FALSE,NA,NA
204,FALSE,0,0,FALSE,NA,NA
205,FALSE,0,1,FALSE,NA,NA
206,FALSE,0,4,TRUE,1,0
207,FALSE,0,2,FALSE,NA,NA
208,FALSE,NA,NA,NA,NA,NA
209,FALSE,NA,NA,NA,NA,NA
210,FALSE,0,1,FALSE,0,NA
211,FALSE,NA,NA,NA,NA,NA
212,FALSE,0,4,TRUE,3,NA
213,FALSE,NA,NA,NA,NA,NA
214,TRUE,1,0,FALSE,NA,NA
215,TRUE,3,0,FALSE,NA,NA
216,TRUE,NA,NA,NA,NA,NA
217,TRUE,NA,NA,NA,NA,NA
218,TRUE,NA,NA,NA,NA,NA
219,TRUE,NA,NA,NA,NA,NA
220,TRUE,2,1,FALSE,0,1
221,TRUE,2,0,FALSE,NA,NA
222,TRUE,NA,NA,NA,NA,NA
223,TRUE,0,0,FALSE,NA,NA
224,TRUE,0,0,FALSE,0,NA
225,TRUE,NA,NA,NA,NA,NA
226,TRUE,0,1,TRUE,1,NA
227,TRUE,0,0,FALSE,NA,NA
228,TRUE,NA,NA,NA,NA,NA
229,TRUE,2,0,FALSE,0,NA
230,TRUE,3,2,FALSE,NA,NA
231,TRUE,NA,NA,NA,NA,NA
232,TRUE,1,0,FALSE,NA,NA
233,TRUE,NA,NA,NA,NA,NA
234,FALSE,0,0,FALSE,NA,NA
235,FALSE,0,1,TRUE,1,NA
236,FALSE,NA,NA,NA,NA,NA
237,FALSE,0,0,FALSE,NA,NA
238,FALSE,0,1,TRUE,1,NA
239,FALSE,0,0,FALSE,0,NA
240,FALSE,0,0,FALSE,NA,NA
241,FALSE,0,0,FALSE,NA,NA
242,FALSE,0,3,TRUE,3,NA
243,TRUE,NA,NA,NA,NA,NA
244,TRUE,1,1,TRUE,1,NA
245,TRUE,NA,NA,NA,NA,NA
246,TRUE,1,1,TRUE,1,NA
247,TRUE,0,0,FALSE,NA,NA
248,TRUE,2,0,TRUE,2,NA
249,TRUE,0,0,FALSE,NA,NA
250,TRUE,NA,NA,NA,NA,NA
251,TRUE,1,0,TRUE,1,NA
252,FALSE,NA,NA,NA,NA,NA
253,FALSE,0,1,FALSE,0,NA
254,FALSE,NA,NA,NA,NA,NA
255,FALSE,NA,NA,NA,NA,NA
256,FALSE,NA,NA,NA,NA,NA
257,FALSE,NA,NA,NA,NA,NA
258,FALSE,NA,NA,NA,NA,NA
259,FALSE,0,0,FALSE,NA,NA
260,FALSE,0,1,FALSE,NA,1
261,FALSE,0,2,FALSE,2,NA
262,FALSE,0,0,FALSE,0,NA
263,FALSE,NA,NA,NA,NA,NA
264,FALSE,0,4,TRUE,3,1
265,FALSE,NA,NA,NA,NA,NA
266,FALSE,NA,NA,NA,NA,NA
267,FALSE,0,0,FALSE,NA,NA
268,FALSE,0,9,TRUE,9,NA
269,FALSE,NA,NA,NA,NA,NA
270,FALSE,0,3,TRUE,1,1
271,FALSE,0,1,FALSE,NA,NA
272,FALSE,NA,NA,NA,NA,NA
273,TRUE,1,1,TRUE,1,NA
274,TRUE,4,2,TRUE,4,2
275,TRUE,NA,NA,NA,NA,NA
276,TRUE,1,1,TRUE,1,NA
277,TRUE,1,0,TRUE,1,NA
278,TRUE,0,0,FALSE,NA,NA
279,TRUE,NA,NA,NA,NA,NA
280,TRUE,4,0,TRUE,4,NA
281,TRUE,NA,NA,NA,NA,NA
282,TRUE,NA,NA,NA,NA,NA
283,TRUE,NA,NA,NA,NA,NA
284,TRUE,1,1,TRUE,1,0
285,TRUE,NA,NA,NA,NA,NA
286,TRUE,NA,NA,NA,NA,NA
287,TRUE,NA,NA,NA,NA,NA
288,TRUE,0,4,TRUE,2,NA
289,TRUE,5,0,TRUE,4,NA
290,TRUE,NA,NA,NA,NA,NA
291,TRUE,NA,NA,NA,NA,NA
292,TRUE,NA,NA,NA,NA,NA
293,TRUE,NA,NA,NA,NA,NA
294,FALSE,NA,NA,NA,NA,NA
295,FALSE,0,0,FALSE,NA,NA
296,FALSE,3,3,TRUE,1,1
297,FALSE,0,2,FALSE,NA,NA
298,FALSE,NA,NA,NA,NA,NA
299,FALSE,NA,NA,NA,NA,NA
300,FALSE,NA,NA,NA,NA,NA
301,FALSE,NA,NA,NA,NA,NA
302,FALSE,0,0,FALSE,NA,NA
303,FALSE,1,1,TRUE,1,NA
304,FALSE,0,0,FALSE,NA,NA
305,FALSE,0,1,TRUE,1,NA
306,FALSE,1,1,TRUE,1,1
307,FALSE,0,0,FALSE,NA,NA
308,TRUE,NA,NA,NA,NA,NA
309,TRUE,0,0,FALSE,NA,NA
310,TRUE,NA,NA,NA,NA,NA
311,TRUE,NA,NA,NA,NA,NA
312,TRUE,NA,NA,NA,NA,NA
313,TRUE,1,0,TRUE,1,NA
314,TRUE,0,0,FALSE,NA,NA
315,TRUE,NA,NA,NA,NA,NA
316,TRUE,0,2,TRUE,1,NA
317,TRUE,0,1,FALSE,NA,NA
318,TRUE,NA,NA,NA,NA,NA
319,TRUE,2,1,FALSE,NA,1
320,TRUE,NA,NA,NA,NA,NA
321,TRUE,NA,NA,NA,NA,NA
322,FALSE,2,1,FALSE,NA,NA
323,FALSE,0,2,TRUE,1,1
324,FALSE,NA,NA,NA,NA,NA
325,FALSE,NA,NA,NA,NA,NA
326,FALSE,NA,NA,NA,NA,NA
327,FALSE,NA,NA,NA,NA,NA
328,FALSE,0,0,FALSE,NA,NA
329,FALSE,NA,NA,NA,NA,NA
330,FALSE,NA,NA,NA,NA,NA
331,FALSE,0,0,FALSE,NA,NA
332,TRUE,21,1,TRUE,1,NA
333,TRUE,0,0,FALSE,NA,NA
334,TRUE,NA,NA,NA,NA,NA
335,TRUE,NA,NA,NA,NA,NA
336,TRUE,0,0,FALSE,NA,NA
337,TRUE,NA,NA,NA,NA,NA
338,TRUE,NA,NA,NA,NA,NA
339,TRUE,NA,NA,NA,NA,NA
340,TRUE,NA,NA,NA,NA,NA
341,FALSE,NA,NA,NA,NA,NA
342,FALSE,NA,NA,NA,NA,NA
343,FALSE,0,2,FALSE,NA,NA
344,FALSE,NA,NA,NA,NA,NA
345,FALSE,0,1,FALSE,NA,NA
346,FALSE,NA,NA,NA,NA,NA
347,FALSE,NA,NA,NA,NA,NA
348,FALSE,NA,NA,NA,NA,NA
349,FALSE,0,3,TRUE,1,NA
350,FALSE,NA,NA,NA,NA,NA
351,FALSE,NA,NA,NA,NA,NA
352,FALSE,NA,NA,NA,NA,NA
353,FALSE,NA,NA,NA,NA,NA
354,FALSE,1,4,FALSE,NA,NA
355,FALSE,NA,NA,NA,NA,NA
356,FALSE,NA,NA,NA,NA,NA
357,FALSE,0,2,TRUE,1,1
358,FALSE,NA,NA,NA,NA,NA
359,FALSE,1,1,TRUE,1,1
360,FALSE,4,1,TRUE,1,NA
361,TRUE,1,1,FALSE,NA,NA
362,TRUE,NA,NA,NA,NA,NA
363,TRUE,NA,NA,NA,NA,NA
364,TRUE,NA,NA,NA,NA,NA
365,TRUE,NA,NA,NA,NA,NA
366,TRUE,NA,NA,NA,NA,NA
367,TRUE,NA,NA,NA,NA,NA
368,TRUE,0,0,FALSE,NA,NA
369,TRUE,5,1,TRUE,1,1
370,TRUE,NA,NA,NA,NA,NA
371,TRUE,NA,NA,NA,NA,NA
372,TRUE,NA,NA,NA,NA,NA
373,TRUE,NA,NA,NA,NA,NA
374,TRUE,NA,NA,NA,NA,NA
375,TRUE,NA,NA,NA,NA,NA
376,TRUE,1,0,TRUE,1,NA
377,TRUE,NA,NA,NA,NA,NA
378,TRUE,NA,NA,NA,NA,NA
379,FALSE,0,0,FALSE,NA,NA
380,FALSE,NA,NA,NA,NA,NA
381,FALSE,NA,NA,NA,NA,NA
382,FALSE,NA,NA,NA,NA,NA
383,FALSE,2,4,TRUE,1,1
384,FALSE,0,1,FALSE,NA,NA
385,FALSE,NA,NA,NA,NA,NA
386,FALSE,0,1,TRUE,1,NA
387,FALSE,NA,NA,NA,NA,NA
388,FALSE,NA,NA,NA,NA,NA
389,FALSE,0,3,FALSE,NA,NA
390,FALSE,NA,NA,NA,NA,NA
391,FALSE,1,0,TRUE,1,0
392,FALSE,NA,NA,NA,NA,NA
393,FALSE,NA,NA,NA,NA,NA
394,FALSE,0,0,FALSE,NA,NA
395,FALSE,0,1,FALSE,NA,NA
396,FALSE,NA,NA,NA,NA,NA
397,TRUE,1,1,TRUE,1,NA
398,TRUE,6,4,FALSE,NA,NA
399,TRUE,NA,NA,NA,NA,NA
400,TRUE,NA,NA,NA,NA,NA
401,TRUE,1,0,FALSE,NA,NA
402,TRUE,0,0,FALSE,NA,NA
403,TRUE,NA,NA,NA,NA,NA
404,TRUE,0,2,TRUE,1,2
405,TRUE,NA,NA,NA,NA,NA
406,TRUE,NA,NA,NA,NA,NA
407,TRUE,1,0,FALSE,0,NA
408,TRUE,NA,NA,NA,NA,NA
409,TRUE,NA,NA,NA,NA,NA
410,TRUE,NA,NA,NA,NA,NA
411,TRUE,1,1,FALSE,0,NA
412,TRUE,NA,NA,NA,NA,NA
413,TRUE,NA,NA,NA,NA,NA
414,TRUE,NA,NA,NA,NA,NA
415,TRUE,1,1,FALSE,NA,NA
416,FALSE,0,5,TRUE,1,NA
417,FALSE,NA,NA,NA,NA,NA
418,FALSE,0,0,FALSE,NA,NA
419,FALSE,NA,NA,NA,NA,NA
420,FALSE,0,2,TRUE,1,NA
421,FALSE,0,1,FALSE,NA,NA
422,TRUE,NA,NA,NA,NA,NA
423,TRUE,NA,NA,NA,NA,NA
424,TRUE,NA,NA,NA,NA,NA
425,TRUE,NA,NA,NA,NA,NA
426,TRUE,NA,NA,NA,NA,NA
427,TRUE,NA,NA,NA,NA,NA
428,TRUE,NA,NA,NA,NA,NA
429,TRUE,1,1,FALSE,NA,NA
430,FALSE,0,0,FALSE,NA,NA
431,FALSE,0,1,FALSE,0,0
432,FALSE,NA,NA,NA,NA,NA
433,FALSE,NA,NA,NA,NA,NA
434,FALSE,1,1,TRUE,1,NA
435,FALSE,NA,NA,NA,NA,NA
436,FALSE,NA,NA,NA,NA,NA
437,FALSE,NA,NA,NA,NA,NA
438,FALSE,0,2,TRUE,1,1
439,FALSE,0,3,TRUE,2,1
440,TRUE,NA,NA,NA,NA,NA
441,TRUE,1,0,FALSE,NA,NA
442,TRUE,NA,NA,NA,NA,NA
443,TRUE,NA,NA,NA,NA,NA
444,TRUE,NA,NA,NA,NA,NA
445,TRUE,2,1,TRUE,1,NA
446,TRUE,NA,NA,NA,NA,NA
447,TRUE,NA,NA,NA,NA,NA
448,TRUE,2,0,TRUE,1,NA
449,TRUE,NA,NA,NA,NA,NA
450,TRUE,2,0,TRUE,1,NA
451,TRUE,NA,NA,NA,NA,NA
452,TRUE,NA,NA,NA,NA,NA
453,TRUE,NA,NA,NA,NA,NA
454,FALSE,0,0,FALSE,NA,NA
455,FALSE,NA,NA,NA,NA,NA
456,FALSE,NA,NA,NA,NA,NA
457,FALSE,NA,NA,NA,NA,NA
458,FALSE,1,1,FALSE,NA,NA
459,FALSE,0,0,FALSE,0,NA
460,TRUE,0,1,FALSE,0,NA
461,TRUE,NA,NA,NA,NA,NA
462,TRUE,0,0,FALSE,NA,NA
463,TRUE,NA,NA,NA,NA,NA
464,TRUE,NA,NA,NA,NA,NA
465,TRUE,NA,NA,NA,NA,NA
466,FALSE,NA,NA,NA,NA,NA
467,FALSE,6,0,FALSE,NA,NA
468,FALSE,2,2,TRUE,1,1
469,FALSE,0,4,TRUE,1,1
470,FALSE,NA,NA,NA,NA,NA
471,FALSE,NA,NA,NA,NA,NA
472,FALSE,NA,NA,NA,NA,NA
473,FALSE,NA,NA,NA,NA,NA
474,FALSE,NA,NA,NA,NA,NA
475,FALSE,NA,NA,NA,NA,NA
476,FALSE,0,2,FALSE,NA,NA
477,FALSE,NA,NA,NA,NA,NA
478,FALSE,NA,NA,NA,NA,NA
479,FALSE,NA,NA,NA,NA,NA
480,FALSE,NA,NA,NA,NA,NA
481,TRUE,2,0,FALSE,NA,NA
482,TRUE,NA,NA,NA,NA,NA
483,TRUE,NA,NA,NA,NA,NA
484,TRUE,1,0,FALSE,NA,NA
485,TRUE,NA,NA,NA,NA,NA
486,TRUE,0,0,FALSE,0,NA
487,TRUE,NA,NA,NA,NA,NA
488,TRUE,NA,NA,NA,NA,NA
489,TRUE,NA,NA,NA,NA,NA
490,TRUE,NA,NA,NA,NA,NA
491,TRUE,2,0,FALSE,NA,NA
492,TRUE,3,2,TRUE,1,1
493,TRUE,NA,NA,NA,NA,NA
494,TRUE,NA,NA,NA,NA,NA
495,TRUE,NA,NA,NA,NA,NA
496,FALSE,NA,NA,NA,NA,NA
497,FALSE,NA,NA,NA,NA,NA
498,FALSE,NA,NA,NA,NA,NA
499,FALSE,0,0,FALSE,NA,NA
500,FALSE,NA,NA,NA,NA,NA
501,FALSE,0,0,FALSE,NA,NA
502,TRUE,NA,NA,NA,NA,NA
503,TRUE,0,0,FALSE,NA,NA
504,TRUE,NA,NA,NA,NA,NA
505,TRUE,NA,NA,NA,NA,NA
506,TRUE,NA,NA,NA,NA,NA
507,TRUE,0,0,FALSE,NA,NA
508,TRUE,NA,NA,NA,NA,NA
509,FALSE,NA,NA,NA,NA,NA
510,FALSE,0,5,TRUE,0,2
511,FALSE,NA,NA,NA,NA,NA
512,FALSE,NA,NA,NA,NA,NA
513,FALSE,NA,NA,NA,NA,NA
514,FALSE,0,0,FALSE,NA,NA
515,FALSE,NA,NA,NA,NA,NA
516,FALSE,NA,NA,NA,NA,NA
517,FALSE,NA,NA,NA,NA,NA
518,FALSE,NA,NA,NA,NA,NA
519,FALSE,NA,NA,NA,NA,NA
520,FALSE,0,0,FALSE,NA,NA
521,FALSE,0,2,TRUE,1,NA
522,FALSE,NA,NA,NA,NA,NA
523,FALSE,NA,NA,NA,NA,NA
524,FALSE,2,3,TRUE,1,1
525,FALSE,NA,NA,NA,NA,NA
526,FALSE,0,1,TRUE,1,1
527,FALSE,NA,NA,NA,NA,NA
528,FALSE,0,0,FALSE,0,NA
529,FALSE,0,0,FALSE,NA,NA
530,FALSE,0,0,FALSE,NA,NA
531,TRUE,NA,NA,NA,NA,NA
532,TRUE,0,1,FALSE,NA,NA
533,TRUE,NA,NA,NA,NA,NA
534,TRUE,NA,NA,NA,NA,NA
535,TRUE,NA,NA,NA,NA,NA
536,TRUE,NA,NA,NA,NA,NA
537,TRUE,2,1,TRUE,1,NA
538,TRUE,NA,NA,NA,NA,NA
539,TRUE,NA,NA,NA,NA,NA
540,TRUE,0,0,FALSE,NA,NA
541,TRUE,NA,NA,NA,NA,NA
542,TRUE,NA,NA,NA,NA,NA
543,TRUE,NA,NA,NA,NA,NA
544,TRUE,NA,NA,NA,NA,NA
545,TRUE,1,1,TRUE,1,NA
546,TRUE,2,2,TRUE,1,1
547,TRUE,NA,NA,NA,NA,NA
548,TRUE,2,0,FALSE,NA,NA
549,TRUE,1,0,FALSE,NA,NA
550,TRUE,NA,NA,NA,NA,NA
551,TRUE,NA,NA,NA,NA,NA
552,TRUE,2,0,FALSE,NA,1
