"iid","is_male","age","field_of_study","field_of_study_category","undergrad_sch","median_SAT_of_undergrad_sch","tuition_of_undergrad_sch","race","importance_of_race","importance_of_religion","from","median_income_of_zipcode","income","goal_of_participating","freq_of_going_on_dates","freq_of_going_out","intended_career","intended_career_category","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expectation_of_happiness_of_matches","expected_num_of_people_interested_in_me_out_of_twenty"
23,FALSE,21,"Psychology","Social Science, Psychologist","","","","Asian/Pacific Islander/Asian-American",9,6,"Hong Kong","0","","Seemed like a fun night out","Several times a week","Several times a week","psychologist","Psychologist",2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,3
24,FALSE,27,"social work","Social Work","","","","European/Causasian-American",2,3,"new york","11,561","43,185.00","To meet new people","Several times a year","Twice a month","health/nutrition oriented social worker","International/Humanitarian Affairs",10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,3
25,FALSE,25,"Social Work","Social Work","","","","European/Causasian-American",10,2,"Iowa","52,803","23,152.00","Seemed like a fun night out","Once a month","Twice a week","Social Worker","International/Humanitarian Affairs",7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,5,4
26,FALSE,23,"Social Work","Social Work","","","","European/Causasian-American",2,4,"California","94,596","43,664.00","Seemed like a fun night out","Once a month","Twice a week","Social work with children","International/Humanitarian Affairs",9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,10
27,FALSE,22,"Speech Language Pathology","Social Science, Psychologist","","","","Latino/Hispanic American",1,5,"Westchester, NY","10,523","48,441.00","Seemed like a fun night out","Several times a year","Twice a week","Speech Language Pathologist","International/Humanitarian Affairs",7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,5,4
28,FALSE,26,"Speech Languahe Pathology","Social Science, Psychologist","","","","European/Causasian-American",NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,FALSE,22,"Social Work","Social Work","","","","European/Causasian-American",4,5,"Washington, DC","22,151","61,152.00","Seemed like a fun night out","Several times a year","Several times a week","Social Work Administration","International/Humanitarian Affairs",8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,4
30,FALSE,23,"Law","Law","","","","European/Causasian-American",2,4,"Boston","1,867","","Seemed like a fun night out","Almost never","Twice a week","Lawyer","Lawyer",5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,3,2
31,FALSE,24,"law","Law","","","","European/Causasian-American",4,8,"Washington, DC","13,413","36,485.00","Seemed like a fun night out","Twice a month","Once a week","law","Lawyer",3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5,4
32,FALSE,27,"Psychology","Social Science, Psychologist","","","","Asian/Pacific Islander/Asian-American",1,1,"new jersey","8,820","","Seemed like a fun night out","Twice a month","Twice a week","Professor","Academic/Research",4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,3,0
33,FALSE,30,"Educational Psychology","Social Science, Psychologist","","","","European/Causasian-American",4,8,"Michigan","48,124","41,507.00","Other","Several times a year","Several times a week","Clidren's TV","Creative Arts/Entertainment",4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,4,0
34,FALSE,21,"Applied Maths/Econs","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",2,2,"SIngapore","807,931","","Seemed like a fun night out","Several times a year","Twice a week","Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,6,5
35,FALSE,25,"Mathematics","Math","","","","European/Causasian-American",9,7,"Brazil","29,055","17,134.00","Seemed like a fun night out","Several times a year","Once a week","Capital Markets","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,7,8
36,FALSE,26,"Statistics","Math","","","","European/Causasian-American",7,8,"Brandeis University","8,691","","To meet new people","Once a month","Twice a week","Biostatistics","Doctor/Medicine",6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,6,8
37,FALSE,27,"Organizational Psychology","Social Science, Psychologist","","","","European/Causasian-American",5,8,"Cincinnati, OH","45,213","30,038.00","To meet new people","Several times a year","Twice a week","Organizational Change Consultant","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,7,3
38,FALSE,23,"Law","Law","","","","Black/African American",8,1,"New York","10,025","33,772.00","Seemed like a fun night out","Twice a month","Once a week","law","Lawyer",7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,12
39,FALSE,24,"Law","Law","","","","Latino/Hispanic American",6,4,"Los Angeles","90,026","24,997.00","To say I did it","Several times a year","Twice a month","lawyer","Lawyer",3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,2,5
40,TRUE,25,"Operations Research",NA,"","","","Asian/Pacific Islander/Asian-American",9,6,"SF Bay Area, CA","94,043","42,096.00","To meet new people","Almost never","Almost never","tech professional",NA,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,3,2
41,TRUE,30,"law","Law","","","","Asian/Pacific Islander/Asian-American",1,1,"China","10,027","","To meet new people","Several times a year","Once a month","law","Lawyer",5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,7,3
42,TRUE,23,"Mechanical Engineering","Engineering","","","","Asian/Pacific Islander/Asian-American",1,6,"San Francisco(home)/Los Angeles(undergrad)","94,133","28,891.00","To meet new people","Almost never","Twice a month","Engineer","Engineer",1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6,3
43,TRUE,24,"Economics","Business/Econ/Finance","","","","European/Causasian-American",1,1,"Spain","6,700","","Other","Several times a year","Once a week","Academic","Academic/Research",8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,3,1
44,TRUE,24,"Psychology","Social Science, Psychologist","","","","European/Causasian-American",3,3,"Israel","22,442","","Seemed like a fun night out","Once a week","Several times a week","academia","Academic/Research",9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,7,5
45,TRUE,28,"Finance","Business/Econ/Finance","","","","European/Causasian-American",6,6,"Switzerland","10,012","","To meet new people","Several times a year","Once a week","banker / academia","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7,7
46,TRUE,26,"Finanace","Business/Econ/Finance","","","","European/Causasian-American",2,3,"Italy","21,020","","To meet new people","Several times a year","Twice a week","banker","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,7,8
47,TRUE,30,"Finance&Economics","Business/Econ/Finance","","","","European/Causasian-American",2,2,"Italy","100","","Seemed like a fun night out","Several times a year","Several times a week","Academic","Academic/Research",6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,8,6
48,TRUE,22,"Undergrad - GS","Undergrad/undecided","","","","European/Causasian-American",9,2,"Israel","62,996","","Seemed like a fun night out","Once a month","Twice a week","Music production","Creative Arts/Entertainment",3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,6,5
49,TRUE,25,"Mathematical Finance","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",1,3,"Philadelphia","19,422","62,635.00","Seemed like a fun night out","Once a week","Twice a week","Entrepreneur","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,6,4
50,TRUE,27,"Law","Law","","","","Black/African American",4,4,"Houston","77,026","12,063.00","Other","Several times a year","Twice a week","lawyer","Lawyer",10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,5,7
51,TRUE,23,"Law","Law","","","","European/Causasian-American",5,10,"Philadelphia","19,151","29,809.00","Seemed like a fun night out","Once a month","Once a week","Law","Lawyer",6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3,2
52,TRUE,21,"Law","Law","","","","European/Causasian-American",10,9,"Brooklyn","11,204","26,482.00","Seemed like a fun night out","Twice a month","Several times a week","Intellectual Property Attorney","Lawyer",8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,1
53,TRUE,28,"Medicine","Medical Science, Pharmaceuticals, and Bio Tech","","","","European/Causasian-American",2,2,"Boston","8,071","","To meet new people","Several times a year","Twice a week","Medicine","Doctor/Medicine",8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6,9
54,TRUE,28,"MBA","Business/Econ/Finance","","","","European/Causasian-American",1,1,"New York","13,827","30,147.00","To say I did it","Once a month","Several times a week","consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,7,5
55,TRUE,23,"LAW","Law","","","","Black/African American",1,1,"California","91,730","39,919.00","Other","Twice a month","Twice a week","LAWYER","Lawyer",10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,7,5
56,FALSE,23,"social work","Social Work","","","","European/Causasian-American",10,9,"Florida","33,496","41,466.00","Seemed like a fun night out","Once a week","Several times a week","social worker","International/Humanitarian Affairs",2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,15
57,FALSE,22,"Social Work","Social Work","","","","European/Causasian-American",10,10,"New Jersey","7,045","","To get a date","Once a month","Twice a week","Social Worker","International/Humanitarian Affairs",4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,12
58,FALSE,NA,"",NA,"","","",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,FALSE,NA,"",NA,"","","",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,FALSE,29,"psychology","Social Science, Psychologist","","","","Other",3,10,"New Jersey","7,747","","Looking for a serious relationship","Several times a year","Twice a week","comedienne","Creative Arts/Entertainment",3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,10
61,FALSE,28,"German Literature","History/Religion/Philosophy","","","","European/Causasian-American",1,5,"Tuscaloosa, Alabama","35,404","23,988.00","Seemed like a fun night out","Once a month","Twice a week","Academic","Academic/Research",1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,5
62,FALSE,26,"law","Law","","","","Latino/Hispanic American",1,1,"Albuquerque, NM","87,004","28,989.00","To meet new people","Almost never","Twice a week","attorney","Lawyer",8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,1
63,FALSE,24,"Law","Law","","","","Asian/Pacific Islander/Asian-American",1,3,"Palo Alto, California","94,306","50,948.00","To get a date","Several times a year","Several times a week","Undecided","Undecided",5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,2
64,FALSE,27,"Social Work","Social Work","","","","Asian/Pacific Islander/Asian-American",6,3,"New York","11,375","38,022.00","To meet new people","Several times a year","Once a month","social worker","International/Humanitarian Affairs",8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,2
65,FALSE,23,"Social Work","Social Work","","","","Other",6,3,"Boston, MA","4,605","","To meet new people","Once a month","Once a week","Social Worker.... Clinician","Psychologist",7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,10
66,TRUE,29,"Business & International Affairs","Business/Econ/Finance","","","","Latino/Hispanic American",1,1,"Mexico","11,000","","To meet new people","Several times a year","Twice a month","Private Equity Investing","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5,3
67,TRUE,22,"Law","Law","","","","Other",1,1,"Torrance, CA","90,503","47,559.00","Other","Once a month","Twice a week","Lawyer or professional surfer","Lawyer",9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5,1
68,TRUE,27,"MFA Creative Writing","English/Creative Writing/ Journalism","","","","Black/African American",1,1,"St. Louis, MO","63,034","53,539.00","To say I did it","Twice a month","Once a week","novelist","Creative Arts/Entertainment",3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5,2
69,TRUE,28,"MBA","Business/Econ/Finance","","","","European/Causasian-American",2,2,"London, UK","0","","Other","Several times a year","Several times a week","banker","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3,0
70,TRUE,26,"MBA","Business/Econ/Finance","","","","European/Causasian-American",5,1,"Boston, MA","53,705","32,159.00","To say I did it","Twice a week","Several times a week","Investment Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3,2
71,TRUE,21,"Law","Law","","","","European/Causasian-American",6,7,"Minnesota","55,345","53,940.00","To say I did it","Several times a year","Twice a week","Pro Beach Volleyball","Pro sports/Atheletics",9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9,5
72,TRUE,22,"Engineering","Engineering","","","","European/Causasian-American",8,1,"Boston, MA","2,021","","To say I did it","Several times a year","Several times a week","Engineer or iBanker or consultant","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7,9
73,TRUE,22,"MBA","Business/Econ/Finance","","","","European/Causasian-American",7,3,"Chicago","6,883","","Other","Twice a month","Twice a week","Trading","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2,4
74,TRUE,25,"Electrical Engineering","Engineering","","","","European/Causasian-American",3,1,"Spain","30,100","","To say I did it","Almost never","Twice a week","Ph.D. Electrical Engineering","Engineer",8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9,2
75,TRUE,24,"law","Law","","","","Other",3,3,"Philadelphia","33,511","40,753.00","Other","Once a month","Once a week","attorney","Lawyer",8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5,1
76,FALSE,34,"Classics","English/Creative Writing/ Journalism","","","","European/Causasian-American",5,7,"Ohio","44,118","38,207.00","To meet new people","Almost never","Twice a week","teacher","Academic/Research",1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4
77,FALSE,22,"Social Work","Social Work","","","","European/Causasian-American",2,2,"Minnesota","55,446","46,166.00","Seemed like a fun night out","Twice a month","Twice a week","Social Worker","Social Work",7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4
78,FALSE,23,"Social Work","Social Work","","","","Latino/Hispanic American",1,4,"Ohio","43,229","30,973.00","To meet new people","Almost never","Once a week","Counseling Adolescents","Social Work",5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,7,0
79,FALSE,26,"Operations Research (SEAS)","Engineering","","","","Asian/Pacific Islander/Asian-American",8,8,"India/Venezuela","8,003","","To meet new people","Almost never","Several times a week","Operations Research","Engineer",2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,5,3
80,FALSE,27,"chemistry","Biological Sciences/Chemistry/Physics","","","","Asian/Pacific Islander/Asian-American",3,1,"China","411,101","","Seemed like a fun night out","Once a month","Twice a month","industrial scientist","Academic/Research",8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,7,10
81,FALSE,28,"Journalism","English/Creative Writing/ Journalism","","","","European/Causasian-American",6,9,"Texas","76,116","28,317.00","To say I did it","Once a month","Twice a week","Journalism","Creative Arts/Entertainment",6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,5,6
82,FALSE,25,"Elementary/Childhood Education (MA)","Education, Academia","","","","Other",2,7,"Washington State","98,579","26,645.00","Seemed like a fun night out","Once a week","Twice a week","teaching and then...","Academic/Research",5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,7,2
83,FALSE,35,"Economics","Business/Econ/Finance","","","","Latino/Hispanic American",1,5,"Panama","10,019","","To meet new people","Several times a year","Several times a week","Economic research","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,6,3
84,FALSE,32,"microbiology","Biological Sciences/Chemistry/Physics","","","","Latino/Hispanic American",1,1,"spain","28,035","","To meet new people","Twice a month","Several times a week","pharmaceuticals","Doctor/Medicine",7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5,7,5
85,FALSE,30,"Masters of Social Work","Social Work","","","","European/Causasian-American",3,5,"Arizona","85,201","25,589.00","To meet new people","Several times a year","Twice a month","Social Services/ Policy","International/Humanitarian Affairs",2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3,4,4
86,FALSE,22,"Communications","Social Science, Psychologist","","","","European/Causasian-American",1,1,"Minneapolis, MN","55,424","55,223.00","To meet new people","Almost never","Several times a week","Professor of Media Studies","Academic/Research",2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,6,10
87,FALSE,23,"Social Work","Social Work","","","","European/Causasian-American",8,10,"NJ","7,746","","Seemed like a fun night out","Once a week","Twice a week","Social Worker","International/Humanitarian Affairs",10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4,10
88,FALSE,23,"Social Work","Social Work","","","","European/Causasian-American",8,7,"NY","10,514","109,031.00","Seemed like a fun night out","Twice a month","Twice a month","Clinical Social Worker","International/Humanitarian Affairs",8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,5,10
89,FALSE,27,"Marketing","Business/Econ/Finance","","","","European/Causasian-American",3,2,"Israel","62,150","","Seemed like a fun night out","Almost never","Once a week","Academic","Academic/Research",2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,5,6
90,FALSE,23,"Chemistry","Biological Sciences/Chemistry/Physics","","","","Asian/Pacific Islander/Asian-American",4,1,"P. R. China","300,151","","To meet new people","Almost never","Almost never","I don't know","Undecided",8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,5,0
91,FALSE,25,"Law","Law","","","","Other",6,8,"California","48,895","40,409.00","Seemed like a fun night out","Once a week","Twice a week","Lawyer","Lawyer",4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,5,3
92,FALSE,29,"International Educational Development","Education, Academia","","","","European/Causasian-American",1,2,"San Francisco","94,108","21,597.00","To say I did it","Several times a year","Several times a week","Microfinancing Program Manager","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,5,6
93,FALSE,29,"Education Administration","Engineering","","","","European/Causasian-American",2,2,"England","0","","Seemed like a fun night out","Once a month","Several times a week","Education Administration","Academic/Research",3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,2
94,TRUE,28,"Business (MBA)","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",6,8,"Bangladesh","0","","To meet new people","Several times a year","Once a week","Marketing","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,5,2
95,TRUE,26,"Business","Business/Econ/Finance","","","","European/Causasian-American",7,5,"Long Island","11,753","76,624.00","Seemed like a fun night out","Once a month","Twice a week","Business - Investment Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,6,6
96,TRUE,26,"Computer Science","Engineering","","","","Latino/Hispanic American",3,6,"Argentina","10,027","","Seemed like a fun night out","Almost never","Several times a week","Academic or Research staff","Academic/Research",5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,3
97,TRUE,29,"Climate-Earth and Environ. Science","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",4,1,"Brooklyn, NY","11,215","35,968.00","To meet new people","Once a month","Twice a week","Professor","Academic/Research",6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,5,5
98,TRUE,39,"Social Work","Social Work","","","","European/Causasian-American",1,1,"Cincinnati, Ohio","45,242","51,725.00","Looking for a serious relationship","Twice a month","Twice a week","University Professor","Academic/Research",8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7,5,5
99,TRUE,28,"Law","Law","","","","European/Causasian-American",1,1,"New York","10,022","55,419.00","To get a date","Once a week","Twice a week","Lawyer","Lawyer",5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,8,18
100,TRUE,30,"Business","Business/Econ/Finance","","","","Other",8,9,"Israel","92,425","","Seemed like a fun night out","Once a week","Twice a week","Professor","Academic/Research",5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,5,4
101,TRUE,22,"financial math","Business/Econ/Finance","","","","Asian/Pacific Islander/Asian-American",3,2,"India","110,015","","To get a date","Twice a month","Once a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4,7,14
102,TRUE,32,"Chemistry","Biological Sciences/Chemistry/Physics","","","","European/Causasian-American",2,6,"Canada","0","","Seemed like a fun night out","Twice a month","Twice a month","Research Scientist","Academic/Research",9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2,6,18
